lat,lon,acc,bear,bearAcc,mag_x,mag_y,mag_z,heading,25_dbm,33_dbm,181_dbm,208_dbm,189_dbm,476_dbm,200_dbm,459_dbm,131_dbm,443_dbm,188_dbm,246_dbm,201_dbm,timestamp,intersection_points,label
24.7892613,120.9949786,9.980999946594238,270.0,10.0,6.42,27.42,-39.36,31.788992,-77,-81,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892613,120.9949786,9.980999946594238,270.0,10.0,-6.12,33.12,-33.0,10.342664,-77,-81,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892613,120.9949786,9.980999946594238,270.0,10.0,-12.9,39.54,-20.88,20.32967,-77,-81,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892613,120.9949786,9.980999946594238,270.0,10.0,-5.52,43.62,-12.78,14.479178,-77,-81,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892613,120.9949786,9.980999946594238,270.0,10.0,-0.24,33.78,-32.34,35.3766,-74,-83,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892681,120.9949808,9.980999946594238,307.0879211425781,10.0,7.74,36.12,-27.18,-40.719597,-74,-83,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892681,120.9949808,9.980999946594238,307.0879211425781,10.0,-11.099999,40.62,-17.58,18.69279,-74,-83,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892681,120.9949808,9.980999946594238,307.0879211425781,10.0,-30.539999,30.9,-10.2,49.437485,-74,-83,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892681,120.9949808,9.980999946594238,307.0879211425781,10.0,-21.6,18.96,-31.619999,-102.10896,-74,-83,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892686,120.9949804,14.064000129699707,310.6800231933594,-1.0,-4.38,28.56,-33.3,-47.9479,-74,-83,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.789285,120.9949851,8.85200023651123,359.993408203125,10.0,-27.779999,30.96,-16.32,39.41123,-74,-83,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.789285,120.9949851,8.85200023651123,359.993408203125,10.0,-32.28,29.16,-4.8599997,39.081684,-74,-83,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.789285,120.9949851,8.85200023651123,359.993408203125,10.0,-25.56,3.06,-32.7,-42.80032,-74,-83,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.789285,120.9949851,8.85200023651123,359.993408203125,10.0,-20.22,18.6,-32.16,-72.08248,-74,-83,0,0,0,0,0,0,0,0,0,0,0,16,0,1
