lat,lon,acc,bear,bearAcc,mag_x,mag_y,mag_z,heading,33_dbm,25_dbm,181_dbm,208_dbm,200_dbm,246_dbm,188_dbm,443_dbm,timestamp,intersection_points,label
24.7892544,120.9950981,3.0,0.0,0.0,7.8599997,2.7,-47.28,0.4012192,-88,0,0,0,0,0,0,0,15,0,0
24.7892543,120.9950982,3.0,0.0,0.0,8.099999,5.8799996,-47.1,0.43965036,-88,0,0,0,0,0,0,0,15,0,0
24.7892543,120.9950982,3.0,0.0,0.0,7.8599997,9.84,-46.8,5.4602127,-88,0,0,0,0,0,0,0,15,0,0
24.7892543,120.9950982,3.0,0.0,0.0,13.74,15.78,-42.719997,3.4716733,-88,0,0,0,0,0,0,0,15,0,0
24.7892543,120.9950982,3.0,0.0,0.0,19.439999,24.359999,-36.36,-32.302654,0,-86,0,0,0,0,0,0,15,0,0
24.7892543,120.9950982,3.0,0.0,0.0,15.9,26.76,-35.64,-17.679672,0,-86,0,0,0,0,0,0,15,0,0
24.7892552,120.9950958,3.0,0.0,0.0,10.679999,20.76,-41.16,-17.250504,0,-86,0,0,0,0,0,0,15,0,0
24.7892552,120.9950958,3.0,0.0,0.0,3.6599998,30.0,-37.739998,11.638721,0,-86,0,0,0,0,0,0,15,0,0
24.7892552,120.9950958,3.0,0.0,0.0,12.36,29.939999,-33.48,-10.087368,0,-86,0,0,0,0,0,0,15,0,0
24.7892552,120.9950958,3.0,0.0,0.0,36.48,22.74,-18.6,-66.62842,0,-86,0,0,0,0,0,0,15,0,0
24.7892552,120.9950958,3.0,0.0,0.0,22.8,12.0,-40.62,-6.881928,0,-86,0,0,0,0,0,0,15,0,0
24.7892658,120.9950927,3.11299991607666,356.0,0.0,6.54,15.059999,-45.12,75.69094,0,-86,0,0,0,0,0,0,15,0,0
24.7892658,120.9950927,3.11299991607666,356.0,0.0,29.46,21.359999,-31.019999,-42.907986,0,-86,0,0,0,0,0,0,15,0,0
24.7892658,120.9950927,3.11299991607666,356.0,0.0,38.34,15.719999,-22.74,-68.739174,0,-86,0,0,0,0,0,0,15,0,0
