lat, lon, acc, bear, bearAcc, magnetometer_x, magnetometer_y, magnetometer_z, heading, 33_asuLevel, 33_cqi, 33_dbm, 33_level, 33_rsrp, 33_rsrq, 33_rssnr, timestamp, label
24.789189,120.99506,6.081999778747559,180.0,10.0,-22.8,28.26,-48.3,18.764414,33_59,33_12,33_-81,33_3,33_-81,33_-10,33_10,15,SIDEWALK
24.789189,120.99506,6.081999778747559,180.0,10.0,-12.96,34.02,-46.68,11.025062,33_59,33_12,33_-81,33_3,33_-81,33_-10,33_10,15,SIDEWALK
24.789189,120.99506,6.081999778747559,180.0,10.0,-7.2,45.12,-35.579998,-2.4244459,33_55,33_11,33_-85,33_2,33_-85,33_-12,33_-1,15,SIDEWALK
24.789189,120.99506,6.081999778747559,180.0,10.0,-20.4,42.36,-40.739998,6.46417,33_55,33_11,33_-85,33_2,33_-85,33_-12,33_-1,15,SIDEWALK
24.7891949,120.9950593,6.081999778747559,351.31109619140625,10.0,-22.859999,38.04,-41.94,43.824024,33_55,33_11,33_-85,33_2,33_-85,33_-12,33_-1,15,SIDEWALK
24.7891949,120.9950593,6.081999778747559,351.31109619140625,10.0,-4.5,36.6,-44.1,17.97874,33_55,33_11,33_-85,33_2,33_-85,33_-12,33_-1,15,SIDEWALK
24.7891949,120.9950593,6.081999778747559,351.31109619140625,10.0,12.96,39.42,-29.22,-29.545223,33_55,33_11,33_-85,33_2,33_-85,33_-12,33_-1,15,SIDEWALK
24.7891949,120.9950593,6.081999778747559,351.31109619140625,10.0,1.92,34.86,-41.46,27.240253,33_55,33_11,33_-85,33_2,33_-85,33_-12,33_-1,15,SIDEWALK
24.7891949,120.9950593,6.081999778747559,351.31109619140625,10.0,-7.3799996,38.16,-41.28,50.5867,33_55,33_11,33_-85,33_2,33_-85,33_-12,33_-1,15,SIDEWALK
24.7892046,120.9950585,6.081999778747559,344.632568359375,10.0,10.98,43.379997,-26.82,-3.7717435,33_55,33_11,33_-85,33_2,33_-85,33_-12,33_-1,15,SIDEWALK
24.7892046,120.9950585,6.081999778747559,344.632568359375,10.0,21.779999,40.2,-6.24,-35.672596,33_55,33_11,33_-85,33_2,33_-85,33_-12,33_-1,15,SIDEWALK
24.7892046,120.9950585,6.081999778747559,344.632568359375,10.0,8.639999,39.719997,-32.82,36.744156,33_55,33_11,33_-85,33_2,33_-85,33_-12,33_-1,15,SIDEWALK
24.7892046,120.9950585,6.081999778747559,344.632568359375,10.0,1.5,39.96,-35.7,49.235355,33_55,33_11,33_-85,33_2,33_-85,33_-12,33_-1,15,SIDEWALK
