lat, lon, acc, bear, bearAcc, magnetometer_x, magnetometer_y, magnetometer_z, heading, 33_asuLevel, 33_cqi, 33_dbm, 33_level, 33_rsrp, 33_rsrq, 33_rssnr, 25_asuLevel, 25_cqi, 25_dbm, 25_level, 25_rsrp, 25_rsrq, 25_rssnr, timestamp, label
24.7892698,120.9950819,5.400000095367432,285.6128234863281,10.0,-24.42,29.939999,-34.68,19.564425,33_53,33_9,33_-87,33_2,33_-87,33_-12,33_-4,25_49,25_0,25_-91,25_2,25_-91,25_-15,25_0,16,SIDEWALK
24.7892698,120.9950819,5.400000095367432,285.6128234863281,10.0,-19.199999,34.98,-33.899998,17.647202,33_53,33_9,33_-87,33_2,33_-87,33_-12,33_-4,25_49,25_0,25_-91,25_2,25_-91,25_-15,25_0,16,SIDEWALK
24.7892704,120.9950799,8.434000015258789,285.8019714355469,-1.0,-11.16,43.379997,-31.619999,8.796074,33_53,33_9,33_-87,33_2,33_-87,33_-12,33_-4,25_49,25_0,25_-91,25_2,25_-91,25_-15,25_0,16,SIDEWALK
24.7892704,120.9950799,8.434000015258789,285.8019714355469,-1.0,-9.24,54.719997,-16.92,5.1788473,33_53,33_9,33_-87,33_2,33_-87,33_-12,33_-4,25_49,25_0,25_-91,25_2,25_-91,25_-15,25_0,16,SIDEWALK
24.7892704,120.9950799,8.434000015258789,285.8019714355469,-1.0,-7.9199996,53.46,-18.42,5.1822047,33_53,33_9,33_-87,33_2,33_-87,33_-12,33_-4,25_49,25_0,25_-91,25_2,25_-91,25_-15,25_0,16,SIDEWALK
24.7892701,120.9950823,7.785999774932861,290.0582275390625,10.0,-0.9,48.899998,-26.279999,16.219187,33_53,33_9,33_-87,33_2,33_-87,33_-12,33_-4,25_49,25_0,25_-91,25_2,25_-91,25_-15,25_0,16,SIDEWALK
24.7892701,120.9950823,7.785999774932861,290.0582275390625,10.0,9.12,46.559998,-25.38,-2.4470344,33_53,33_9,33_-87,33_2,33_-87,33_-12,33_-4,25_49,25_0,25_-91,25_2,25_-91,25_-15,25_0,16,SIDEWALK
24.7892701,120.9950823,7.785999774932861,290.0582275390625,10.0,18.84,46.559998,-16.8,-22.90853,33_53,33_9,33_-87,33_2,33_-87,33_-12,33_-4,25_49,25_0,25_-91,25_2,25_-91,25_-15,25_0,16,SIDEWALK
24.7892701,120.9950823,7.785999774932861,290.0582275390625,10.0,11.16,45.719997,-25.32,-6.6668353,33_53,33_9,33_-87,33_2,33_-87,33_-12,33_-4,25_49,25_0,25_-91,25_2,25_-91,25_-15,25_0,16,SIDEWALK
24.7892701,120.9950823,7.785999774932861,290.0582275390625,10.0,6.48,42.899998,-28.74,18.088835,33_53,33_9,33_-87,33_2,33_-87,33_-12,33_-4,25_49,25_0,25_-91,25_2,25_-91,25_-15,25_0,16,SIDEWALK
24.7892712,120.9950753,7.734000205993652,295.6848449707031,10.0,11.94,42.899998,-26.039999,9.755685,33_53,33_9,33_-87,33_2,33_-87,33_-12,33_-4,25_49,25_0,25_-91,25_2,25_-91,25_-15,25_0,16,SIDEWALK
24.7892712,120.9950753,7.734000205993652,295.6848449707031,10.0,19.26,46.44,-14.58,-16.627394,33_55,33_6,33_-85,33_2,33_-85,33_-13,33_2,25_51,25_0,25_-89,25_2,25_-89,25_-15,25_0,16,SIDEWALK
24.7892712,120.9950753,7.734000205993652,295.6848449707031,10.0,17.699999,43.26,-22.08,-16.781315,33_55,33_6,33_-85,33_2,33_-85,33_-13,33_2,25_51,25_0,25_-89,25_2,25_-89,25_-15,25_0,16,SIDEWALK
24.7892712,120.9950753,7.734000205993652,295.6848449707031,10.0,11.34,28.92,-31.98,37.022026,33_55,33_6,33_-85,33_2,33_-85,33_-13,33_2,25_51,25_0,25_-89,25_2,25_-89,25_-15,25_0,16,SIDEWALK
24.7892712,120.9950753,7.734000205993652,295.6848449707031,10.0,17.76,28.38,-27.96,1.0811024,33_55,33_6,33_-85,33_2,33_-85,33_-13,33_2,25_51,25_0,25_-89,25_2,25_-89,25_-15,25_0,16,SIDEWALK
24.7892837,120.9950722,7.185999870300293,355.0394287109375,10.0,31.26,32.399998,-10.92,-46.076916,33_55,33_6,33_-85,33_2,33_-85,33_-13,33_2,25_51,25_0,25_-89,25_2,25_-89,25_-15,25_0,16,SIDEWALK
24.7892837,120.9950722,7.185999870300293,355.0394287109375,10.0,24.779999,27.3,-23.58,-37.230637,33_55,33_6,33_-85,33_2,33_-85,33_-13,33_2,25_51,25_0,25_-89,25_2,25_-89,25_-15,25_0,16,SIDEWALK
24.7892837,120.9950722,7.185999870300293,355.0394287109375,10.0,5.46,19.8,-39.48,62.8118,33_55,33_6,33_-85,33_2,33_-85,33_-13,33_2,25_51,25_0,25_-89,25_2,25_-89,25_-15,25_0,16,SIDEWALK
24.7892872,120.9950719,10.348999977111816,355.048583984375,-1.0,12.24,24.6,-33.78,12.223494,33_55,33_6,33_-85,33_2,33_-85,33_-13,33_2,25_51,25_0,25_-89,25_2,25_-89,25_-15,25_0,16,SIDEWALK
24.7892872,120.9950719,10.348999977111816,355.048583984375,-1.0,31.14,24.0,-18.119999,-69.43232,33_55,33_6,33_-85,33_2,33_-85,33_-13,33_2,25_51,25_0,25_-89,25_2,25_-89,25_-15,25_0,16,SIDEWALK
24.7892998,120.9950678,12.3100004196167,355.0055847167969,10.0,21.359999,17.94,-30.119999,-35.15591,33_55,33_6,33_-85,33_2,33_-85,33_-13,33_2,25_51,25_0,25_-89,25_2,25_-89,25_-15,25_0,16,SIDEWALK
24.7892998,120.9950678,12.3100004196167,355.0055847167969,10.0,6.0,8.88,-40.5,86.44518,33_55,33_6,33_-85,33_2,33_-85,33_-13,33_2,25_51,25_0,25_-89,25_2,25_-89,25_-15,25_0,16,SIDEWALK
24.7892998,120.9950678,12.3100004196167,355.0055847167969,10.0,18.66,17.4,-33.719997,-17.007738,25_53,25_6,25_-87,25_2,25_-87,25_-12,25_-5,16,SIDEWALK
24.7892998,120.9950678,12.3100004196167,355.0055847167969,10.0,31.38,21.66,-21.42,-70.08776,25_53,25_6,25_-87,25_2,25_-87,25_-12,25_-5,16,SIDEWALK
24.7892998,120.9950678,12.3100004196167,355.0055847167969,10.0,23.039999,15.42,-32.52,-18.081478,25_53,25_6,25_-87,25_2,25_-87,25_-12,25_-5,16,SIDEWALK
24.7893159,120.9950639,9.506999969482422,354.2757263183594,10.0,9.36,8.639999,-40.86,105.75786,25_53,25_6,25_-87,25_2,25_-87,25_-12,25_-5,16,SIDEWALK
24.7893159,120.9950639,9.506999969482422,354.2757263183594,10.0,22.38,17.22,-31.859999,-19.708565,25_53,25_6,25_-87,25_2,25_-87,25_-12,25_-5,16,SIDEWALK
24.7893159,120.9950639,9.506999969482422,354.2757263183594,10.0,34.44,18.66,-19.74,-79.084305,25_53,25_6,25_-87,25_2,25_-87,25_-12,25_-5,16,SIDEWALK
24.7893159,120.9950639,9.506999969482422,354.2757263183594,10.0,20.22,9.78,-37.14,31.99911,25_53,25_6,25_-87,25_2,25_-87,25_-12,25_-5,16,SIDEWALK
24.7893159,120.9950639,9.506999969482422,354.2757263183594,10.0,11.099999,8.04,-40.079998,98.478035,25_53,25_6,25_-87,25_2,25_-87,25_-12,25_-5,16,SIDEWALK
24.7893325,120.9950622,7.321000099182129,358.8094482421875,10.0,26.88,14.94,-29.88,-21.42532,25_53,25_6,25_-87,25_2,25_-87,25_-12,25_-5,16,SIDEWALK
24.7893325,120.9950622,7.321000099182129,358.8094482421875,10.0,35.88,16.92,-20.64,-68.19898,25_53,25_6,25_-87,25_2,25_-87,25_-12,25_-5,16,SIDEWALK
24.7893325,120.9950622,7.321000099182129,358.8094482421875,10.0,18.42,5.94,-38.28,58.183342,25_53,25_6,25_-87,25_2,25_-87,25_-12,25_-5,16,SIDEWALK
24.7893325,120.9950622,7.321000099182129,358.8094482421875,10.0,13.74,7.3799996,-39.78,74.4325,25_53,25_6,25_-87,25_2,25_-87,25_-12,25_-5,16,SIDEWALK
24.7893325,120.9950622,7.321000099182129,358.8094482421875,10.0,33.84,14.7,-24.3,-62.48791,25_55,25_9,25_-85,25_2,25_-85,25_-12,25_-2,33_54,33_0,33_-86,33_2,33_-86,33_-10,33_0,16,SIDEWALK
24.7893514,120.9950617,6.678999900817871,355.7416076660156,10.0,29.76,14.7,-27.84,-49.268257,25_55,25_9,25_-85,25_2,25_-85,25_-12,25_-2,33_54,33_0,33_-86,33_2,33_-86,33_-10,33_0,16,SIDEWALK
24.7893514,120.9950617,6.678999900817871,355.7416076660156,10.0,12.78,-6.6,-40.68,99.94374,25_55,25_9,25_-85,25_2,25_-85,25_-12,25_-2,33_54,33_0,33_-86,33_2,33_-86,33_-10,33_0,16,SIDEWALK
24.7893514,120.9950617,6.678999900817871,355.7416076660156,10.0,22.98,2.8799999,-35.76,-12.214719,25_55,25_9,25_-85,25_2,25_-85,25_-12,25_-2,33_54,33_0,33_-86,33_2,33_-86,33_-10,33_0,16,SIDEWALK
24.7893514,120.9950617,6.678999900817871,355.7416076660156,10.0,42.899998,7.2599998,-16.68,175.36305,25_55,25_9,25_-85,25_2,25_-85,25_-12,25_-2,33_54,33_0,33_-86,33_2,33_-86,33_-10,33_0,16,SIDEWALK
24.7893514,120.9950617,6.678999900817871,355.7416076660156,10.0,37.02,5.3399997,-26.16,-51.188354,25_55,25_9,25_-85,25_2,25_-85,25_-12,25_-2,33_54,33_0,33_-86,33_2,33_-86,33_-10,33_0,16,SIDEWALK
24.7893686,120.9950587,6.678999900817871,351.3615417480469,10.0,24.539999,7.08,-34.62,90.37278,25_55,25_9,25_-85,25_2,25_-85,25_-12,25_-2,33_54,33_0,33_-86,33_2,33_-86,33_-10,33_0,16,SIDEWALK
24.7893686,120.9950587,6.678999900817871,351.3615417480469,10.0,35.64,12.54,-22.08,-45.276077,25_55,25_9,25_-85,25_2,25_-85,25_-12,25_-2,33_54,33_0,33_-86,33_2,33_-86,33_-10,33_0,16,SIDEWALK
24.7893719,120.995063,8.984000205993652,43.246456146240234,0.0,39.42,16.98,-14.7,-101.35829,25_55,25_9,25_-85,25_2,25_-85,25_-12,25_-2,33_54,33_0,33_-86,33_2,33_-86,33_-10,33_0,16,SIDEWALK
24.7893719,120.995063,8.984000205993652,43.246456146240234,0.0,27.119999,9.84,-31.56,14.67543,25_55,25_9,25_-85,25_2,25_-85,25_-12,25_-2,33_54,33_0,33_-86,33_2,33_-86,33_-10,33_0,16,SIDEWALK
24.7893719,120.995063,8.984000205993652,43.246456146240234,0.0,23.34,9.599999,-34.079998,82.32741,25_55,25_9,25_-85,25_2,25_-85,25_-12,25_-2,33_54,33_0,33_-86,33_2,33_-86,33_-10,33_0,16,SIDEWALK
24.7893796,120.9950691,9.50100040435791,47.338165283203125,0.0,36.96,16.859999,-18.539999,-58.060715,25_51,25_7,25_-89,25_2,25_-89,25_-13,25_-3,181_46,181_0,181_-94,181_2,181_-94,181_-17,181_0,33_60,33_0,33_-80,33_2,33_-80,33_-10,33_0,195_58,195_0,195_-82,195_2,195_-82,195_-12,195_0,16,SIDEWALK
24.7893796,120.9950691,9.50100040435791,47.338165283203125,0.0,38.399998,14.34,-19.8,-68.33876,25_51,25_7,25_-89,25_2,25_-89,25_-13,25_-3,181_46,181_0,181_-94,181_2,181_-94,181_-17,181_0,33_60,33_0,33_-80,33_2,33_-80,33_-10,33_0,195_58,195_0,195_-82,195_2,195_-82,195_-12,195_0,16,SIDEWALK
24.7893796,120.9950691,9.50100040435791,47.338165283203125,0.0,23.4,4.3199997,-36.48,100.366005,25_51,25_7,25_-89,25_2,25_-89,25_-13,25_-3,181_46,181_0,181_-94,181_2,181_-94,181_-17,181_0,33_60,33_0,33_-80,33_2,33_-80,33_-10,33_0,195_58,195_0,195_-82,195_2,195_-82,195_-12,195_0,16,SIDEWALK
24.7893796,120.9950691,9.50100040435791,47.338165283203125,0.0,23.16,10.26,-35.04,-15.98141,25_51,25_7,25_-89,25_2,25_-89,25_-13,25_-3,181_46,181_0,181_-94,181_2,181_-94,181_-17,181_0,33_60,33_0,33_-80,33_2,33_-80,33_-10,33_0,195_58,195_0,195_-82,195_2,195_-82,195_-12,195_0,16,SIDEWALK
24.7893885,120.9950635,11.060999870300293,348.8166809082031,0.0,40.079998,12.12,-16.14,-103.6683,25_51,25_7,25_-89,25_2,25_-89,25_-13,25_-3,181_46,181_0,181_-94,181_2,181_-94,181_-17,181_0,33_60,33_0,33_-80,33_2,33_-80,33_-10,33_0,195_58,195_0,195_-82,195_2,195_-82,195_-12,195_0,16,SIDEWALK
24.7893987,120.9950536,12.428000450134277,340.43902587890625,0.0,35.399998,6.0,-27.72,-68.85077,25_51,25_7,25_-89,25_2,25_-89,25_-13,25_-3,181_46,181_0,181_-94,181_2,181_-94,181_-17,181_0,33_60,33_0,33_-80,33_2,33_-80,33_-10,33_0,195_58,195_0,195_-82,195_2,195_-82,195_-12,195_0,16,SIDEWALK
24.7893987,120.9950536,12.428000450134277,340.43902587890625,0.0,22.859999,6.24,-36.78,111.71214,25_51,25_7,25_-89,25_2,25_-89,25_-13,25_-3,181_46,181_0,181_-94,181_2,181_-94,181_-17,181_0,33_60,33_0,33_-80,33_2,33_-80,33_-10,33_0,195_58,195_0,195_-82,195_2,195_-82,195_-12,195_0,16,SIDEWALK
24.7893987,120.9950536,12.428000450134277,340.43902587890625,0.0,34.14,13.799999,-25.08,-33.514812,25_51,25_7,25_-89,25_2,25_-89,25_-13,25_-3,181_46,181_0,181_-94,181_2,181_-94,181_-17,181_0,33_60,33_0,33_-80,33_2,33_-80,33_-10,33_0,195_58,195_0,195_-82,195_2,195_-82,195_-12,195_0,16,SIDEWALK
24.7893987,120.9950536,12.428000450134277,340.43902587890625,0.0,40.5,15.299999,-12.54,-84.38155,25_51,25_7,25_-89,25_2,25_-89,25_-13,25_-3,181_46,181_0,181_-94,181_2,181_-94,181_-17,181_0,33_60,33_0,33_-80,33_2,33_-80,33_-10,33_0,195_58,195_0,195_-82,195_2,195_-82,195_-12,195_0,16,SIDEWALK
24.7894091,120.9950446,12.1899995803833,339.60552978515625,0.0,27.0,10.38,-31.56,-4.411771,25_51,25_7,25_-89,25_2,25_-89,25_-13,25_-3,181_46,181_0,181_-94,181_2,181_-94,181_-17,181_0,33_60,33_0,33_-80,33_2,33_-80,33_-10,33_0,195_58,195_0,195_-82,195_2,195_-82,195_-12,195_0,16,SIDEWALK
24.7894091,120.9950446,12.1899995803833,339.60552978515625,0.0,18.96,8.4,-37.02,90.93604,25_51,25_7,25_-89,25_2,25_-89,25_-13,25_-3,181_46,181_0,181_-94,181_2,181_-94,181_-17,181_0,33_60,33_0,33_-80,33_2,33_-80,33_-10,33_0,195_58,195_0,195_-82,195_2,195_-82,195_-12,195_0,16,SIDEWALK
24.7894186,120.9950362,14.133999824523926,337.92828369140625,0.0,33.719997,15.42,-23.699999,-53.01618,25_51,25_7,25_-89,25_2,25_-89,25_-13,25_-3,181_46,181_0,181_-94,181_2,181_-94,181_-17,181_0,33_60,33_0,33_-80,33_2,33_-80,33_-10,33_0,195_58,195_0,195_-82,195_2,195_-82,195_-12,195_0,16,SIDEWALK
24.7894186,120.9950362,14.133999824523926,337.92828369140625,0.0,39.66,12.9,-16.199999,-72.57255,25_51,25_7,25_-89,25_2,25_-89,25_-13,25_-3,181_46,181_0,181_-94,181_2,181_-94,181_-17,181_0,33_60,33_0,33_-80,33_2,33_-80,33_-10,33_0,195_58,195_0,195_-82,195_2,195_-82,195_-12,195_0,16,SIDEWALK
24.7894186,120.9950362,14.133999824523926,337.92828369140625,0.0,25.56,4.56,-35.04,117.37946,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894186,120.9950362,14.133999824523926,337.92828369140625,0.0,26.099998,8.28,-34.26,9.078119,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894299,120.9950275,13.645000457763672,338.0677490234375,0.0,45.539997,11.04,-10.0199995,-97.2899,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894407,120.9950215,14.354000091552734,338.66839599609375,0.0,41.879997,9.719999,-16.44,-67.82771,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894407,120.9950215,14.354000091552734,338.66839599609375,0.0,21.0,3.6,-37.98,92.67603,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894407,120.9950215,14.354000091552734,338.66839599609375,0.0,20.4,12.179999,-34.92,-1.1798728,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894407,120.9950215,14.354000091552734,338.66839599609375,0.0,42.719997,7.7999997,-14.759999,-129.0529,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894496,120.9950174,13.871999740600586,336.5638122558594,0.0,34.62,7.08,-27.96,-55.78237,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894496,120.9950174,13.871999740600586,336.5638122558594,0.0,18.3,13.92,-35.7,90.45927,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894593,120.9950131,10.232999801635742,337.0380554199219,0.0,32.64,21.66,-19.199999,-48.960087,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894593,120.9950131,10.232999801635742,337.0380554199219,0.0,40.26,19.5,-5.22,-72.186455,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894593,120.9950131,10.232999801635742,337.0380554199219,0.0,31.619999,12.42,-27.3,-174.02055,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894691,120.9950087,10.119999885559082,334.1695556640625,0.0,26.039999,11.46,-32.7,86.7355,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894691,120.9950087,10.119999885559082,334.1695556640625,0.0,38.28,20.46,-12.24,-100.221634,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
24.7894691,120.9950087,10.119999885559082,334.1695556640625,0.0,37.44,16.199999,-18.42,-61.19978,25_49,25_7,25_-91,25_2,25_-91,25_-14,25_-1,181_46,181_0,181_-94,181_2,181_-94,181_-14,181_0,33_59,33_0,33_-81,33_2,33_-81,33_-10,33_0,195_55,195_0,195_-85,195_2,195_-85,195_-14,195_0,16,SIDEWALK
