lat, lon, acc, bear, bearAcc, magnetometer_x, magnetometer_y, magnetometer_z, heading, 33_asuLevel, 33_cqi, 33_dbm, 33_level, 33_rsrp, 33_rsrq, 33_rssnr, 25_asuLevel, 25_cqi, 25_dbm, 25_level, 25_rsrp, 25_rsrq, 25_rssnr, timestamp, label
24.7892152,120.9950986,9.946999549865723,341.7713928222656,0.0,89.159996,37.2,-4.62,-53.174473,33_54,33_12,33_-86,33_2,33_-86,33_-11,33_-2,25_53,25_0,25_-87,25_2,25_-87,25_-14,25_0,17,SIDEWALK
24.7892152,120.9950986,9.946999549865723,341.7713928222656,0.0,87.06,45.48,-2.46,-59.91838,33_54,33_12,33_-86,33_2,33_-86,33_-11,33_-2,25_53,25_0,25_-87,25_2,25_-87,25_-14,25_0,17,SIDEWALK
24.7892152,120.9950986,9.946999549865723,341.7713928222656,0.0,85.32,48.42,2.04,-60.980026,33_54,33_12,33_-86,33_2,33_-86,33_-11,33_-2,25_53,25_0,25_-87,25_2,25_-87,25_-14,25_0,17,SIDEWALK
24.7892152,120.9950986,9.946999549865723,341.7713928222656,0.0,79.439995,52.379997,7.14,-56.86061,33_54,33_12,33_-86,33_2,33_-86,33_-11,33_-2,25_53,25_0,25_-87,25_2,25_-87,25_-14,25_0,17,SIDEWALK
24.7892202,120.9951004,9.918000221252441,344.6159973144531,0.0,64.86,55.68,22.859999,-51.94814,33_54,33_12,33_-86,33_2,33_-86,33_-11,33_-2,25_53,25_0,25_-87,25_2,25_-87,25_-14,25_0,17,SIDEWALK
24.789224,120.9951008,9.892000198364258,341.0927734375,0.0,83.4,56.1,15.839999,-64.10533,33_54,33_12,33_-86,33_2,33_-86,33_-11,33_-2,25_53,25_0,25_-87,25_2,25_-87,25_-14,25_0,17,SIDEWALK
24.789224,120.9951008,9.892000198364258,341.0927734375,0.0,86.34,54.239998,12.0,-57.070793,33_54,33_12,33_-86,33_2,33_-86,33_-11,33_-2,25_53,25_0,25_-87,25_2,25_-87,25_-14,25_0,17,SIDEWALK
24.789224,120.9951008,9.892000198364258,341.0927734375,0.0,87.36,52.02,8.46,-51.242725,33_54,33_12,33_-86,33_2,33_-86,33_-11,33_-2,25_53,25_0,25_-87,25_2,25_-87,25_-14,25_0,17,SIDEWALK
24.7892279,120.9951011,9.857999801635742,345.5130615234375,0.0,69.479996,50.7,8.5199995,-55.369114,33_54,33_12,33_-86,33_2,33_-86,33_-11,33_-2,25_53,25_0,25_-87,25_2,25_-87,25_-14,25_0,17,SIDEWALK
24.7892279,120.9951011,9.857999801635742,345.5130615234375,0.0,66.42,45.239998,3.8999999,-55.538616,33_54,33_12,33_-86,33_2,33_-86,33_-11,33_-2,25_53,25_0,25_-87,25_2,25_-87,25_-14,25_0,17,SIDEWALK
24.7892414,120.9951028,9.758000373840332,359.9248352050781,0.0,81.119995,48.18,1.3199999,-54.70345,33_54,33_12,33_-86,33_2,33_-86,33_-11,33_-2,25_53,25_0,25_-87,25_2,25_-87,25_-14,25_0,17,SIDEWALK
24.7892414,120.9951028,9.758000373840332,359.9248352050781,0.0,86.88,51.42,4.2599998,-44.55976,33_54,33_12,33_-86,33_2,33_-86,33_-11,33_-2,25_53,25_0,25_-87,25_2,25_-87,25_-14,25_0,17,SIDEWALK
24.7892414,120.9951028,9.758000373840332,359.9248352050781,0.0,64.68,52.079998,13.86,-53.776817,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7892414,120.9951028,9.758000373840332,359.9248352050781,0.0,63.539997,49.379997,5.8199997,-54.81485,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7892568,120.9951059,9.739999771118164,356.2780456542969,0.0,77.4,43.32,-2.52,-32.06143,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7892568,120.9951059,9.739999771118164,356.2780456542969,0.0,73.439995,48.0,0.12,-42.967705,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7892733,120.9951052,9.720999717712402,357.837158203125,0.0,54.18,48.36,18.18,-51.47535,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7892733,120.9951052,9.720999717712402,357.837158203125,0.0,61.92,45.96,5.64,-54.760662,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7892733,120.9951052,9.720999717712402,357.837158203125,0.0,85.92,43.92,-0.65999997,-36.150745,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
24.7892733,120.9951052,9.720999717712402,357.837158203125,0.0,88.259995,51.6,6.8999996,-45.533806,33_53,33_14,33_-87,33_2,33_-87,33_-11,33_-2,25_52,25_0,25_-88,25_2,25_-88,25_-11,25_0,17,SIDEWALK
