lat,lon,acc,bear,bearAcc,mag_x,mag_y,mag_z,heading,33_dbm,25_dbm,181_dbm,200_dbm,208_dbm,188_dbm,189_dbm,195_dbm,443_dbm,459_dbm,131_dbm,196_dbm,246_dbm,timestamp,intersection_points,label
24.7892204,120.9950554,5.809000015258789,344.1935729980469,10.0,0.12,38.82,-35.1,50.94275,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892204,120.9950554,5.809000015258789,344.1935729980469,10.0,-7.8599997,41.1,-36.42,44.308674,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892204,120.9950554,5.809000015258789,344.1935729980469,10.0,24.24,33.66,-14.16,-39.30922,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892204,120.9950554,5.809000015258789,344.1935729980469,10.0,23.4,30.539999,-18.42,-43.39864,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892204,120.9950554,5.809000015258789,344.1935729980469,10.0,-2.6399999,37.32,-39.12,46.94612,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.789239,120.9950521,5.427000045776367,359.8990478515625,10.0,17.699999,37.38,-21.3,-38.24408,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892395,120.9950533,7.840000152587891,325.92767333984375,0.0,29.039999,24.119999,1.26,-52.49797,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892395,120.9950533,7.840000152587891,325.92767333984375,0.0,24.119999,32.219997,-14.639999,-38.156467,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892395,120.9950533,7.840000152587891,325.92767333984375,0.0,4.3199997,33.96,-39.96,38.358574,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892438,120.9950531,9.234000205993652,326.4674072265625,0.0,20.46,38.1,-14.82,-18.940641,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892438,120.9950531,9.234000205993652,326.4674072265625,0.0,27.48,27.599998,4.02,-52.86882,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892438,120.9950531,9.234000205993652,326.4674072265625,0.0,18.42,38.64,-18.06,11.826022,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892438,120.9950531,9.234000205993652,326.4674072265625,0.0,3.06,40.2,-35.34,45.606472,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892562,120.9950536,11.739999771118164,357.8242492675781,0.0,13.38,41.28,-24.539999,-22.743301,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892707,120.9950542,12.210000038146973,0.7512480020523071,0.0,16.199999,37.92,-25.98,-33.292946,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892707,120.9950542,12.210000038146973,0.7512480020523071,0.0,8.94,33.42,-37.079998,51.771763,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892707,120.9950542,12.210000038146973,0.7512480020523071,0.0,16.5,37.86,-25.38,7.2518406,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892707,120.9950542,12.210000038146973,0.7512480020523071,0.0,25.439999,31.679998,0.59999996,-57.170208,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892707,120.9950542,12.210000038146973,0.7512480020523071,0.0,26.46,28.38,-16.74,-30.97253,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.789282,120.9950551,12.067000389099121,4.112613677978516,0.0,10.08,22.8,-42.18,44.406826,-89,-90,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7893274,120.9950464,14.65999984741211,355.2679748535156,0.0,18.06,26.699999,-33.48,66.733604,-93,-94,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7893274,120.9950464,14.65999984741211,355.2679748535156,0.0,22.439999,32.34,-22.199999,-16.528313,-93,-94,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7893274,120.9950464,14.65999984741211,355.2679748535156,0.0,26.46,32.7,-1.14,-64.13829,-93,-94,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7893432,120.9950399,14.048999786376953,350.3746337890625,0.0,24.96,30.0,-18.6,-26.552267,-93,-94,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7893432,120.9950399,14.048999786376953,350.3746337890625,0.0,11.099999,25.08,-39.84,42.801407,-93,-94,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7893643,120.9950318,13.397000312805176,342.7528381347656,0.0,21.42,35.64,-16.5,-8.00366,-93,-94,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7895835,120.9948098,9.777999877929688,306.2497253417969,0.0,32.46,4.2,-1.86,-142.73254,-92,0,-91,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7895835,120.9948098,9.777999877929688,306.2497253417969,0.0,31.859999,8.099999,-11.82,-67.18758,-92,0,-91,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7895835,120.9948098,9.777999877929688,306.2497253417969,0.0,30.119999,14.58,-19.859999,94.56224,-92,0,-91,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7895893,120.9947954,9.805999755859375,304.4999084472656,0.0,32.579998,10.559999,-6.96,-42.28979,-92,0,-91,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7895893,120.9947954,9.805999755859375,304.4999084472656,0.0,31.08,0.84,-4.02,-98.47943,-92,0,-91,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7895957,120.9947813,9.779000282287598,303.6583251953125,0.0,30.84,5.64,-15.24,173.185,-92,0,-91,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7895957,120.9947813,9.779000282287598,303.6583251953125,0.0,28.859999,14.34,-19.68,-58.79,-92,0,-91,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7895957,120.9947813,9.779000282287598,303.6583251953125,0.0,30.359999,7.14,-5.94,-91.42822,-92,0,-91,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7895957,120.9947813,9.779000282287598,303.6583251953125,0.0,27.24,-1.62,-7.7999997,-96.85137,-92,0,-91,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7895985,120.9947663,9.857999801635742,301.6020202636719,0.0,26.939999,9.3,-21.3,76.493126,-92,0,-91,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7895985,120.9947663,9.857999801635742,301.6020202636719,0.0,27.18,15.299999,-20.16,-17.073135,-92,0,-91,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7896047,120.9947512,9.866000175476074,301.0492858886719,0.0,29.4,3.78,-1.4399999,-109.30365,-92,0,-91,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7896118,120.9946852,10.01099967956543,293.8602600097656,0.0,26.699999,3.12,-11.58,-79.69571,0,0,0,-86,-87,0,0,0,0,0,0,0,0,15,0,0
24.7896118,120.9946852,10.01099967956543,293.8602600097656,0.0,25.98,13.799999,-21.42,84.21617,0,0,0,-86,-87,0,0,0,0,0,0,0,0,15,0,0
24.7896118,120.9946852,10.01099967956543,293.8602600097656,0.0,28.199999,21.9,-7.3799996,-44.000954,0,0,0,-86,-87,0,0,0,0,0,0,0,0,15,0,0
24.7896122,120.994669,9.973999977111816,291.84716796875,0.0,28.859999,5.8199997,2.1599998,-134.8686,0,0,0,-86,-87,0,0,0,0,0,0,0,0,15,0,0
24.7896121,120.9946555,9.979999542236328,289.8952331542969,0.0,28.8,0.24,-5.4,-89.40561,0,0,0,-86,-87,0,0,0,0,0,0,0,0,15,0,0
24.7896121,120.9946555,9.979999542236328,289.8952331542969,0.0,27.96,6.0,-15.36,88.726654,0,0,0,-86,-87,0,0,0,0,0,0,0,0,15,0,0
24.7896121,120.9946555,9.979999542236328,289.8952331542969,0.0,29.22,5.58,-1.14,-62.767982,0,0,0,-86,-87,0,0,0,0,0,0,0,0,15,0,0
24.7896121,120.9946555,9.979999542236328,289.8952331542969,0.0,24.3,-8.16,-2.82,-129.64268,0,0,0,-86,-87,0,0,0,0,0,0,0,0,15,0,0
24.7896113,120.9946435,9.954999923706055,287.5413818359375,0.0,26.22,-7.5,-9.719999,-142.60121,0,0,0,-86,-87,0,0,0,0,0,0,0,0,15,0,0
24.7896113,120.9946435,9.954999923706055,287.5413818359375,0.0,21.72,-8.4,-21.3,173.10565,0,0,0,-86,-87,0,0,0,0,0,0,0,0,15,0,0
24.7896096,120.9946329,10.020000457763672,285.0611877441406,0.0,24.0,-7.2,-16.98,-82.75167,0,0,0,-86,-87,0,0,0,0,0,0,0,0,15,0,0
24.7896096,120.9946329,10.020000457763672,285.0611877441406,0.0,22.38,-6.96,-21.42,-107.95688,0,0,0,-86,-87,0,0,0,0,0,0,0,0,15,0,0
24.7896096,120.9946329,10.020000457763672,285.0611877441406,0.0,23.279999,-2.6399999,-23.34,-66.7524,0,0,0,-86,-87,0,0,0,0,0,0,0,0,15,0,0
24.7896096,120.9946329,10.020000457763672,285.0611877441406,0.0,20.939999,-3.1799998,-25.56,-61.851555,0,0,0,-86,-87,0,0,0,0,0,0,0,0,15,0,0
24.7895195,120.994367,9.298999786376953,249.95193481445312,0.0,14.94,-23.22,-12.66,-135.03693,0,0,0,0,-80,-82,0,0,0,0,0,0,0,15,0,0
24.7895109,120.9943563,9.399999618530273,247.2337646484375,0.0,14.04,-26.22,-4.14,-161.00623,0,0,0,0,-80,-82,0,0,0,0,0,0,0,15,0,0
24.7895109,120.9943563,9.399999618530273,247.2337646484375,0.0,24.72,-14.759999,2.58,143.7373,0,0,0,0,-80,-82,0,0,0,0,0,0,0,15,0,0
24.7895026,120.9943457,9.512999534606934,245.0327911376953,0.0,20.82,-19.08,-0.29999998,-121.17195,0,0,0,0,-80,-82,0,0,0,0,0,0,0,15,0,0
24.7895026,120.9943457,9.512999534606934,245.0327911376953,0.0,5.2799997,-29.34,-15.9,-152.63779,0,0,0,0,-80,-82,0,0,0,0,0,0,0,15,0,0
24.7895026,120.9943457,9.512999534606934,245.0327911376953,0.0,15.0,-24.48,10.92,-157.56036,0,0,0,0,-80,-82,0,0,0,0,0,0,0,15,0,0
24.7894958,120.9943379,9.531000137329102,243.00094604492188,0.0,22.439999,-15.78,12.66,-160.05873,0,0,0,0,-80,-82,0,0,0,0,0,0,0,15,0,0
24.7894958,120.9943379,9.531000137329102,243.00094604492188,0.0,16.68,-23.939999,-5.46,-131.47925,0,0,0,0,-80,-82,0,0,0,0,0,0,0,15,0,0
24.7894958,120.9943379,9.531000137329102,243.00094604492188,0.0,5.46,-30.359999,-9.12,-168.77556,0,0,0,0,-80,-82,0,0,0,0,0,0,0,15,0,0
24.7894884,120.99433,10.069000244140625,240.3873291015625,0.0,17.52,-19.02,16.859999,-176.20912,0,0,0,0,-80,-82,0,0,0,0,0,0,0,15,0,0
24.7894884,120.99433,10.069000244140625,240.3873291015625,0.0,20.64,-18.119999,5.1,-132.59497,0,0,0,0,-80,-82,0,0,0,0,0,0,0,15,0,0
