lat,lon,acc,bear,bearAcc,mag_x,mag_y,mag_z,heading,25_dbm,33_dbm,195_dbm,200_dbm,208_dbm,181_dbm,189_dbm,188_dbm,131_dbm,246_dbm,459_dbm,476_dbm,timestamp,intersection_points,label
24.7892606,120.9949909,8.255000114440918,180.0,10.0,-20.34,22.26,-40.739998,1.9760414,-74,-82,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892606,120.9949909,8.255000114440918,180.0,10.0,-15.299999,26.64,-40.14,2.1708004,-74,-82,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892606,120.9949909,8.255000114440918,180.0,10.0,-7.8599997,34.14,-36.36,-8.187128,-74,-82,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892606,120.9949909,8.255000114440918,180.0,10.0,-14.5199995,44.04,-15.24,16.498148,-74,-82,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892605,120.994991,7.631999969482422,180.0,10.0,-6.0,43.8,-19.38,9.44281,-74,-82,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892605,120.994991,7.631999969482422,180.0,10.0,10.0199995,43.68,-19.5,-16.592127,-74,-82,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892605,120.994991,7.631999969482422,180.0,10.0,25.56,36.78,-20.52,-40.6173,-74,-82,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892605,120.994991,7.631999969482422,180.0,10.0,19.859999,29.939999,-33.059998,-26.226158,-74,-82,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892605,120.994991,7.631999969482422,180.0,10.0,7.08,14.88,-45.6,73.27582,-80,-80,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892648,120.9949891,7.618000030517578,350.42901611328125,10.0,19.74,18.3,-39.66,-0.5117453,-80,-80,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892648,120.9949891,7.618000030517578,350.42901611328125,10.0,36.12,21.119999,-24.84,-83.834114,-80,-80,0,0,0,0,0,0,0,0,0,0,16,0,1
