lat,lon,acc,bear,bearAcc,mag_x,mag_y,mag_z,heading,25_dbm,33_dbm,189_dbm,188_dbm,208_dbm,476_dbm,246_dbm,181_dbm,200_dbm,196_dbm,459_dbm,195_dbm,419_dbm,131_dbm,484_dbm,443_dbm,timestamp,intersection_points,label
24.7892442,120.9950122,3.927000045776367,296.95086669921875,10.0,-26.34,22.14,-38.28,17.41289,-87,-91,-94,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892507,120.9950141,3.927000045776367,348.28326416015625,10.0,-22.02,19.26,-37.92,15.575689,-87,-91,-94,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892507,120.9950141,3.927000045776367,348.28326416015625,10.0,-21.42,23.76,-38.82,16.552359,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892507,120.9950141,3.927000045776367,348.28326416015625,10.0,-20.699999,33.48,-31.439999,-18.55854,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892507,120.9950141,3.927000045776367,348.28326416015625,10.0,-34.079998,34.079998,-16.74,43.935574,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892507,120.9950141,3.927000045776367,348.28326416015625,10.0,-42.719997,30.119999,-3.84,53.78335,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892601,120.9950167,3.931999921798706,10.148088455200195,10.0,-25.8,14.639999,-39.12,-64.039246,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892616,120.9950171,5.380000114440918,10.533529281616211,-1.0,-5.7,25.68,-39.84,-51.192078,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892616,120.9950171,5.380000114440918,10.533529281616211,-1.0,-28.08,31.32,-27.24,38.552155,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892616,120.9950171,5.380000114440918,10.533529281616211,-1.0,-33.42,28.8,-21.48,38.40458,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892616,120.9950171,5.380000114440918,10.533529281616211,-1.0,-19.439999,20.039999,-34.86,-82.66019,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892781,120.9950212,6.119999885559082,13.710018157958984,10.0,-22.08,28.08,-27.9,-40.383884,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892781,120.9950212,6.119999885559082,13.710018157958984,10.0,-36.12,28.32,5.04,72.900444,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892781,120.9950212,6.119999885559082,13.710018157958984,10.0,-40.739998,22.74,-10.92,31.393232,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892781,120.9950212,6.119999885559082,13.710018157958984,10.0,-36.12,2.52,-33.48,-57.24742,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7892781,120.9950212,6.119999885559082,13.710018157958984,10.0,-31.019999,38.64,-3.36,29.163029,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893035,120.9950211,6.119999885559082,356.61395263671875,10.0,-41.879997,24.3,15.78,78.808525,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893035,120.9950211,6.119999885559082,356.61395263671875,10.0,-46.079998,1.26,-29.4,-112.44312,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893035,120.9950211,6.119999885559082,356.61395263671875,10.0,-42.54,9.179999,-31.199999,-93.25609,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893035,120.9950211,6.119999885559082,356.61395263671875,10.0,-41.64,26.099998,13.5,66.49747,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893035,120.9950211,6.119999885559082,356.61395263671875,10.0,-46.86,20.82,-0.53999996,43.976833,-83,-82,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896161,120.9947035,10.019000053405762,299.2751159667969,0.0,-28.859999,5.8199997,-33.66,26.921862,0,-80,0,-70,-78,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896161,120.9947035,10.019000053405762,299.2751159667969,0.0,-29.22,-4.38,-33.239998,-30.95505,0,-80,0,-70,-78,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896187,120.9946887,10.060999870300293,297.6204528808594,0.0,-2.1599998,-34.32,-26.519999,-78.55882,0,-80,0,-70,-78,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896187,120.9946887,10.060999870300293,297.6204528808594,0.0,-26.34,-16.32,-32.88,-107.247,0,-80,0,-70,-78,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896187,120.9946887,10.060999870300293,297.6204528808594,0.0,-31.439999,2.28,-30.24,80.299774,0,-80,0,-70,-78,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896157,120.9946712,10.137999534606934,293.3391418457031,0.0,-11.04,-27.779999,-31.019999,-139.44275,0,-80,0,-70,-78,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896157,120.9946712,10.137999534606934,293.3391418457031,0.0,-4.08,-35.76,-24.66,-136.31116,0,-80,0,-70,-78,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896177,120.9946548,10.13700008392334,291.7759094238281,0.0,-31.08,-7.8599997,-31.199999,23.951952,0,-80,0,-70,-78,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896177,120.9946548,10.13700008392334,291.7759094238281,0.0,-32.219997,-12.48,-26.939999,-12.7529335,0,-80,0,-70,-78,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896177,120.9946548,10.13700008392334,291.7759094238281,0.0,-6.3599997,-32.579998,-29.46,-71.046005,0,-80,0,-70,-78,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896177,120.9946548,10.13700008392334,291.7759094238281,0.0,-16.14,-26.76,-29.82,-126.99733,0,-80,0,-70,-78,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896151,120.9946339,10.199999809265137,287.4510192871094,0.0,-25.8,-4.2,-36.899998,63.44668,0,-80,0,-70,-78,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896151,120.9946339,10.199999809265137,287.4510192871094,0.0,-18.18,-12.54,-38.16,-104.439354,0,-80,0,-70,-78,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896151,120.9946339,10.199999809265137,287.4510192871094,0.0,8.58,-34.86,-23.519999,133.40778,0,-83,0,-76,-83,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896127,120.9946147,10.239999771118164,283.0713195800781,0.0,-6.54,-17.58,-39.899998,-98.188126,0,-83,0,-76,-83,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896127,120.9946147,10.239999771118164,283.0713195800781,0.0,-13.32,-8.5199995,-39.899998,98.22964,0,-83,0,-76,-83,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7896128,120.9945987,10.262999534606934,281.46826171875,0.0,15.54,-30.06,-27.9,-132.30016,0,-83,0,-76,-83,0,0,0,0,0,0,0,0,0,0,0,16,0,1
