02_19_28 Location[fused 24.791966,121.009420 acc=16 et=+2m19s197ms] 24251
02_24_52 Location[fused 24.791958,121.009420 acc=22 et=+7m42s851ms] 23615
02_30_13 Location[fused 24.791958,121.009420 acc=13 et=+13m3s546ms] 20759
02_35_33 Location[fused 24.791958,121.009420 acc=11 et=+18m23s945ms] 20241
02_40_53 Location[fused 24.791958,121.009420 acc=31 et=+23m44s195ms] 20212
02_46_17 Location[fused 24.791958,121.009420 acc=22 et=+29m7s857ms] 23619
02_51_37 Location[fused 24.791958,121.009420 acc=22 et=+34m28s108ms] 20184
02_57_01 Location[fused 24.791958,121.009420 acc=22 et=+39m51s715ms] 23534
03_02_24 Location[fused 24.791958,121.009420 acc=22 et=+45m15s369ms] 23582
03_07_48 Location[fused 24.791958,121.009420 acc=22 et=+50m38s989ms] 23549
03_13_12 Location[fused 24.791958,121.009420 acc=22 et=+56m2s613ms] 23558
03_18_32 Location[fused 24.791958,121.009420 acc=22 et=+1h1m22s903ms] 20194
04_15_51 Location[fused 24.791733,121.009775 acc=6 et=+1h58m41s949ms alt=97.8 vel=0.0] 20021
05_51_21 Location[fused 24.791395,121.008080 acc=8 et=+3h34m11s981ms alt=107.1 vel=0.0] 20168
05_56_41 Location[fused 24.791395,121.008080 acc=8 et=+3h39m32s241ms alt=107.1 vel=0.0] 20200
09_49_28 Location[fused 24.792123,121.009272 acc=5 et=+7h32m19s57ms alt=56.8 vel=0.0 bear=0.0] 20000
11_46_50 Location[fused 24.792123,121.009272 acc=5 et=+9h29m40s793ms alt=56.8 vel=0.0 bear=0.0] 6741673
11_52_10 Location[fused 24.792042,121.009087 acc=7 et=+9h35m1s120ms alt=98.7 vel=0.0] 20279
11_57_31 Location[fused 24.791595,121.009557 acc=7 et=+9h40m22s115ms alt=75.2 vel=0.0] 20918
12_02_52 Location[fused 24.791710,121.009393 acc=7 et=+9h45m43s110ms alt=92.9 vel=0.107576944 bear=102.0] 20919
12_08_13 Location[fused 24.792077,121.008587 acc=6 et=+9h51m4s117ms alt=116.3 vel=0.11941556 bear=286.0] 20945
12_13_34 Location[fused 24.792053,121.008598 acc=8 et=+9h56m25s116ms alt=131.0 vel=0.6650211 bear=282.0] 20926
12_18_55 Location[fused 24.791922,121.009035 acc=7 et=+10h1m46s119ms alt=103.8 vel=0.0] 20950
12_24_16 Location[fused 24.791855,121.008888 acc=7 et=+10h7m7s114ms alt=133.5 vel=0.36082026 bear=288.0] 20949
12_29_45 Location[fused 24.791840,121.008945 acc=6 et=+10h12m36s113ms alt=96.6 vel=0.0] 28952
12_35_06 Location[fused 24.792318,121.009092 acc=9 et=+10h17m57s115ms alt=57.6 vel=0.0 bear=0.0] 20917
12_40_27 Location[fused 24.791195,121.009828 acc=7 et=+10h23m18s112ms alt=74.5 vel=0.13743083 bear=127.0] 20949
12_45_48 Location[fused 24.791688,121.009557 acc=6 et=+10h28m39s117ms alt=74.0 vel=0.46633834 bear=125.0] 20939
12_51_09 Location[fused 24.791665,121.009400 acc=6 et=+10h34m0s111ms alt=99.1 vel=0.12198917 bear=289.0] 20930
12_56_30 Location[fused 24.791832,121.008917 acc=6 et=+10h39m21s114ms alt=136.3 vel=0.18324111 bear=302.0] 20937
13_01_51 Location[fused 24.791758,121.009213 acc=6 et=+10h44m42s115ms alt=87.9 vel=0.072061114 bear=292.0] 20932
13_07_12 Location[fused 24.791897,121.009130 acc=5 et=+10h50m3s113ms alt=103.8 vel=0.0] 20919
13_12_33 Location[fused 24.791742,121.009223 acc=6 et=+10h55m24s114ms alt=38.1 vel=0.0] 20930
13_17_54 Location[fused 24.791867,121.008947 acc=6 et=+11h0m45s119ms alt=138.8 vel=0.32067195 bear=262.0] 20953
13_23_15 Location[fused 24.791808,121.009212 acc=6 et=+11h6m6s113ms alt=120.8 vel=0.84877694 bear=139.0] 20933
13_28_37 Location[fused 24.791725,121.009500 acc=6 et=+11h11m28s114ms alt=91.2 vel=0.0] 21983
13_33_58 Location[fused 24.791785,121.009250 acc=6 et=+11h16m49s116ms alt=122.7 vel=0.0] 20927
13_51_00 Location[fused 24.791778,121.009638 acc=6 et=+11h33m51s226ms alt=83.3 vel=0.66347694 bear=99.0] 722035
14_29_22 Location[fused 24.791778,121.009638 acc=6 et=+12h12m13s138ms alt=83.3 vel=0.66347694 bear=99.0] 2001839
15_02_51 Location[fused 24.790848,121.012762 acc=10 et=+12h45m41s873ms alt=-122.0 vel=5.5173073 bear=286.0] 1708675
15_08_11 Location[fused 24.794440,121.006487 acc=9 et=+12h51m2s116ms alt=397.2 vel=0.52244306 bear=148.0] 20208
15_13_32 Location[fused 24.794205,121.007517 acc=6 et=+12h56m23s116ms alt=324.6 vel=1.4288689 bear=156.0] 20974
15_18_53 Location[fused 24.794185,121.007052 acc=6 et=+13h1m44s111ms alt=339.2 vel=0.27795 bear=143.0] 20930
15_24_14 Location[fused 24.792060,121.009100 acc=6 et=+13h7m5s115ms alt=158.1 vel=0.0] 20925
15_29_35 Location[fused 24.792392,121.008600 acc=6 et=+13h12m26s116ms alt=208.9 vel=0.0] 20943
15_34_56 Location[fused 24.791883,121.009592 acc=6 et=+13h17m47s119ms alt=120.5 vel=0.8250997 bear=88.0] 20943
15_40_17 Location[fused 24.792185,121.009255 acc=6 et=+13h23m8s116ms alt=196.7 vel=0.0] 20930
15_45_38 Location[fused 24.792170,121.009425 acc=6 et=+13h28m29s114ms alt=203.5 vel=0.32787806 bear=297.0] 20925
15_50_59 Location[fused 24.791643,121.009557 acc=6 et=+13h33m50s115ms alt=89.9 vel=0.019559445 bear=288.0] 20945
15_56_20 Location[fused 24.792703,121.008377 acc=6 et=+13h39m11s119ms alt=437.7 vel=0.19507973 bear=135.0] 20931
16_01_41 Location[fused 24.792538,121.008795 acc=6 et=+13h44m32s114ms alt=316.1 vel=0.0] 20938
17_02_59 Location[fused 24.792720,121.008923 acc=6 et=+14h45m49s691ms alt=326.7 vel=2.0856545 bear=116.0] 3377501
19_00_49 Location[fused 24.792720,121.008923 acc=6 et=+16h43m40s340ms alt=326.7 vel=2.0856545 bear=116.0] 3170628
19_06_10 Location[fused 24.791728,121.008680 acc=8 et=+16h49m1s113ms alt=155.0 vel=0.0] 20679
21_55_51 Location[fused 24.791728,121.008680 acc=8 et=+19h38m42s237ms alt=155.0 vel=0.0] 2681055
22_01_12 Location[fused 24.791728,121.008680 acc=8 et=+19h44m2s482ms alt=155.0 vel=0.0] 20208
22_06_32 Location[fused 24.791728,121.008680 acc=8 et=+19h49m22s709ms alt=155.0 vel=0.0] 20213
